IMSI,EKI,ICCID,PIN1,PUK1,PIN2,PUK2,ADM1,ADM6,ACC,KIC1,KID1,KIK1,KIC2,KID2,KIK2,KIC3,KID3,KIK3
410022233344415,6F8DA0EC152843B3F0A0569497C76641,899222333444000015,3436,53583028,6338,84787886,99447626,92269677,0020,3456A50EB6385215CE9DF4D411D57ABC,944A646B157E7245FC371130C9DBCE3F,27A3343F17268A6C58F13DC50F288BAD,230B95645E17DABD07B217CC149D6A45,5952889F06C1C1F1385B6FB661AC0B5D,E132594621659BAFF2490C7DA9068470,F2D0F6671E562AFB4C0E899B66514A88,33BBFE536AFC8C4A9A55100501771AF0,4C7C17678C299CAE7789FBD8439FA778
410022233344416,E9F1A8EAC0AC81434DE182F3663E1B08,899222333444000016,4056,55128875,2767,61678884,35389417,64079376,0040,C8DAA8F1160322B9314B265991BCAA93,BC19EFB48091C923CDA8C8A91D5520CC,5B19F6E7DB88D6BA686535D600D13645,DEA71436CBDB1DE1EEE4C73E2DE3E733,27BF6C6655AEAA53A76F6DD4EE858197,F9323449885AA51F74BDEA915E18D8C6,F5F3B9D583A79EECD2AD5017D6CC975E,97614B3186E01455F7B438A1555CEEE4,BD8BBBEB45BB0C72AB3FA49BD1CCBA50
410022233344417,F24A25445E9C6930EB440517E2B3E87E,899222333444000017,5356,74633750,3986,37635675,17336674,67957330,0080,DBA3340D2820F2D1D456333130216F3D,E9A9E591B7597CF5FE546BFB9CA4CAD7,6A7D85D1688354D64CFEAB6EDE37EDA1,1AE630C69274899EFFD7555C70E5A804,1CC6758F71E960C0E190F7CA6EFF84AA,D9B01044FAB81BAACE5D11C4E64CC534,4178A6E0EA52A2C22C0DFCFF63AC48FA,214DEF28F0FD7987B1171842D4A0A4FC,78A916BF68273DAEB341906AD8C6582C
410022233344418,D1476D1A6B46EF40AF523BEEABF78EE3,899222333444000018,5752,78908104,2076,54230318,42910963,67026776,0100,2C4909F36FF0FCE6084872470D411EA8,395248D69D2DDCEBFB9826FE5C835A0F,2068ADC052C749EB07628B77D4436908,2640A68162E21C98AB40DA69D8CB711D,6776405E9E43330D62F5991395A56D22,61E4B3AEB15C220E5D9DC507ACC09490,4DF4E284A9CCEC51966E0368B5F4E61D,EF405BBC39C0A69D863FD3C614AE6F70,4D98F49C9F0C03240AACAF6C911A5D14
410022233344419,277169A21007775B5829A3253432F2D6,899222333444000019,9005,50901956,9869,61492205,41353014,25226258,0200,BC902C40854ED54ED794EAC1A3B3FF6E,29775342B3B240DB8960A75BCD485333,84150678423AF2317871414E836D3AFC,96CF64F879593F7E4F27DA317E916FFB,E3BE4255FE17F8EA8DC707AD571E2EBE,BEAE7F4EF213C59D5359F89753626E4F,65533979B20E4675B44FB56F6B973418,02B947A18A93FADBC2158BE5B1C5BBE4,FCB2E8C85D01655E038D94DC06BF65EE
410022233344420,5C87FFC8CAAED88A343BA1EF06FCBC29,899222333444000020,6890,78586569,7362,82073514,11040795,47383317,0001,BB0A580B353D799694421C1EE45FF9CB,B0B170EEB8CD6DFE42839879CD2E704C,071C3B12B5EDEA67948BB3B4F14A227D,1C3C08C700F52EA66E32C0954C1A923C,5FD28E9AE775494594F60EA46AF16963,A3F294310B6F4244A7047C893C10B25B,5FA72C2F723F338FD720BB5B1BADF937,0658B40E1F323DFC256B61C4E9687232,E307216B549A85F473626A77D552B845
410022233344421,2D595E0D893C19ADA90BE5A5CAB540C1,899222333444000021,6376,47001064,1987,57923722,94508519,90330991,0002,8093DE60C9692AF9780E1C1D61B05821,6D1B7D31D5F6199928419A484E783FF5,9BAFC32E9D80790697FA3D9D5829A94A,AD9048D02D5EB72E759977FB394DF820,EC363B6AD8D1EA14392BDFCDA200A0E4,FDB5A494E91D945EBCF487BAD22BF717,8C0C5C7A01031CF33AC5DC8838DAF560,7250326A838AB5CF50C89138C260E195,52048D6A503E082B85FE0848098C0231
410022233344422,2E675ABFD9AD169A4893FCBE1C3B821C,899222333444000022,4509,24356434,8009,47368847,52335013,39049978,0004,52D1891C596B50E9D4FFE11640C1ECDC,DC94DC85335798553A485AA9B31FE167,1850CBEF420C88FD1313A7BA5DB59EDA,6ABF8CC3EAE13301ADB709C0A0B1B295,2BFCB052FE015F9B640FEDB685066D78,D90E2D5B7845038AA5F438779357845A,AB6DDA498AE199B98748047BA31B6A52,60749CBCE71C33DA3E6DF0602549E4F7,4C69ACDBE8B646F4B7379BD5442DDEF8
410022233344423,A88F7919178024C240932B1C47F17A6B,899222333444000023,9732,26800382,3682,10327101,73984158,33025787,0008,2354BF34506980251CFE6A3F6C476F28,61B517A3BF9BD967CE58BE27E3BDC6F1,07401711DA7C2E269D81A4F3CA65227E,D04051ED72E9C3E7D5D8FE64A4C4CBC5,EBE570DC75DABFF7FA0F272084298554,E852BE68992F6DDDE7D78EE4F8621934,A7A993E5E8F4FECF8C46559ACFD6113F,C5D4BABECB04F2D38FA43D6CD6D7F373,A6FB9BDB27ECF3B7BDAE19DA157230E5
410022233344424,7BEB01FEFF6319B784B68496E4C806CC,899222333444000024,3443,67953866,3751,78936742,39659627,64203357,0010,5E0935ABE4F88226E3F105931FA8DDDF,B74F2FCFA50DC490BEAC6C737B06B63F,D0BC411E86DFEB9683FBBA3BE7521408,6710913F2CE2C04C210CF2EEBD54F77C,69528C1D3CF10A3323DF3654C87891E9,3B28E2DDD3151404D1DBD70565CA2524,95B13086AF643ACD4079C8875908CB25,B39D7FF10C2318CE50820AC2B691BF9F,1965D5E9A0C7594EF313FE38979CB092
410022233344425,BF2B61FA2FB7E3D4AF2AB1982F181163,899222333444000025,5421,93169501,7789,32112879,80051647,85817990,0020,7EDFCA56209F7B03E01CBE398475B869,C1459FAEF57688056E4514E5710919A8,603D19EE02230836CF507E5AD67275CA,E27ACEE5ED8B5DBC43629F503868CE09,2FF80155AB4EE57BAE757716BFA534CD,A185D2718DC971CC94297AD3F5A10E9C,658A124DD764D24A1BF37D613ABB2682,3E032C4C27890B69562AECE960EA8446,0574112569B5C6834981622C1C2DC8FC
410022233344426,4EC8049AF36158569ADB9CBC3DCE86EA,899222333444000026,7019,55280100,7534,93893462,88455139,28364282,0040,92199DD6246B1CFAD3A3AAAE1A79455A,4E58413A4CBB09390506AA1C08554D08,C1C19A3E90BC2AEFB12D3DC96786A544,CE43E77A349256856756E06B48E5CC3D,CDC6151407B4213D9E964F500372D1FA,475E2C4B0DCA610966B9F491138A5B41,9D072B294FBE875CEC992A078784D900,DC5E2DE59FC3B21E75A9B6BE7E4DA403,A98ECB9A4E237B7855C37CB04DB8F792
410022233344427,26CD58046208DE449296814084224C99,899222333444000027,1030,39741119,3300,94008372,48460923,57710864,0080,B5F4CBE8A1142BA2419A96919B55BE42,CA626924E40EB1B3E1DC29F265BE1129,6481BBB74E772C586215B441DA4E59A8,EF0794E18392962366737A2954A697FD,7B4A8C69EE0F66B996DF446F88F9D7CF,82DC78F8C62FE4D054CBF9C664FFD5F7,8D03E9646F03CEBCC8AD592B85CE3047,A15FD5BE5C04BCC78E54D55BB9F6E773,3A8C900F6F2F89168CB1293738F18ACF
410022233344428,AB681043B6EB268442EE906A88CED8E6,899222333444000028,4664,92341538,1541,12226648,45925217,70556006,0100,BBE3144A09FF31FFDBA1CDA1F430DBE4,C296E617863D0BA52787FFC9173ED68F,45106EEF669B8CA14B66741D9ED715E8,347CD6544353FCB96E4674E509A798E9,C3A05694D92530922B84C8077A824ECF,8F429AA7B039A83F2CB8D97FBB723F2D,F70A01E788802CDE38C5D1D888D3AA79,05487C866C0AC2A3FFF4A3BC14B82B41,0748027F44F9194CB77B3C1C75397B49
410022233344429,655335A63C13E3DAE9933F8E996EC2D2,899222333444000029,2871,89205456,6581,36613738,69293678,96010782,0200,B87BEA756957AB3033EFAF08E0D159C8,A3D5915147C9F65B7864B8BDA6C76BC9,4EC7801DAF915AD978A2180FB8ED994D,F358BABCFE1E71A1483359FDA9A8B805,7995D120EC185077B5C02D51B3F4B1A0,293542C6DEDAA6B53E74FC0D1FE4EC26,43AFB762289C5BACD4F3B300CF0D582A,CB057033BA38A9D982DA340FAC21E6CA,763B958DBC6D78B0091248FB15B5D6AB
410022233344430,D4A437F1A7E7E9F5EB15E4D0F67CD529,899222333444000030,9803,55551143,8991,65277927,33343821,92312239,0001,CA3198ABF0038AA34CDF7A9FF0A5DDB6,30289246BCBE88F55608F49175F3FECC,507FF3A8D64C263B1269B8B2AC8DB41D,42A3BD11ECB0B65369A7BE0B0D4AA5D0,90EF831148924BAD81F0D7710ED272F2,486122968B54121DF3680BA2BA395B94,E6B2FAD734A74C31EF3D487790050446,0DE2B080A08F56A85BB3AF48EBEC96FF,7CA72303C157075DE06A75620263C179
410022233344431,FD82F5B1ABB0797F7755EE47E3983826,899222333444000031,8263,28654373,8842,46892787,11089841,57542582,0002,DDB1AE79A1F98C9B424840E07BF649C7,637350D33DE250E26619BD1A087B30EE,885FE0D32099CEC0519990EC8353FCD9,47E47483F98C234A0128D79E568843F2,CA86A00ACE6279CDFCF4B87AA6E0BC8F,B8718216E5B2B17B841A3A64D2BD07FB,089A0A62F118F1850BAC9FBF0455A43F,06A85A1564D4F929D896E2896EEC6B3E,57A840F9ADF9E4BC1895C4D4FF15E23F
410022233344432,D73ED4B8AE72796EF127B0C305151B8D,899222333444000032,3745,57613139,2101,19337691,76475447,39933313,0004,54FCC0FACCC9455A7ACCA83AC24FF423,AFC7AF03300111D12F56D3E6D5EA295A,8B9876CE457B6FE2E9DAB326479A57BE,328C2034BFECFD9D6EEAA590DDCB04F6,4FDF3FAE0E37918A936E2B2BB557AA88,9DD60DA474B5EF6B0980D63A67C7B03C,5DE5938668AA6485DA17473D0A71CF21,02F648CA1FBFA40D6803B371B3DE992B,4C75EDA4A2547A27EF960FE69BA2B50A
410022233344433,C05D30AAFC71A9A5513829483903426E,899222333444000033,1470,49641231,1713,89050200,54203549,96708188,0008,30E85B2528E9FFC5150A50B05BE24A03,997F687DA61EFA138BC363D59E1276A5,A2D189D36CDAFC7C8DBABFE1CC16551C,BBB106D90F3018590E7AC430DC7C63E5,C57278A0FB0D1F42EE743BDF439A48F6,43EC3121BA21FCE19D13644CDCBB27F9,8A4D14533718CA79DACBE599C8B2AA2A,C11507854060A643F01B61B6AF47A4F3,CD8354796616E393C39EAD36698EF1C6
410022233344434,4EE26EDEE6485103FF134F580E293C2B,899222333444000034,2408,71215388,9784,67270688,56918144,81423673,0010,93C5D7D2166BB83E2FC50911F8EF5C45,866BF8785B9E786C5809FD664461803C,410B6A155F811EE782E9453BDBDEA2EA,DB598D0D9FAE785B1A00B8140AA763E8,28DE6C3FBA2930E35398B2291C1AF91D,ED1F1F39CF4E166A2395170324C20117,0CEBC5578FF0C373D60597193D5F6EE6,62AEAAF1F90779DFB8392DBBA2B59C9A,442E3DDDD1D293C64D9118F049AE9379
410022233344435,77CFBAEFF2A3EB7F702B3C97D935517D,899222333444000035,6158,52975945,8792,52216569,24903332,97497526,0020,26548FDD3541AE24519D039E59E7A76A,094291C9CDF8ACA486497801D16E7EF6,7ACE5F4A4C29609C971CD68DA5A4E0E5,8DC63F8DC4A06BEAA084D61060E75A29,B5B823534357C132B3871B6976BA9628,189076EAA32E7BF75EDA059E69C4E42C,673A0EEACFEA2F95D03D8C5303DC9B44,4CC8E8132454333D2F63A2758B419DA0,F399346C256515B1A8260F3ADFD92E2C
410022233344436,725AE593CB05DF28B3BE3D4880412A9A,899222333444000036,9273,50047672,7978,50755108,30461249,46860032,0040,3A983EF3F005A601E7E655967ADBADEE,F92F3645780EC8709DD2631DF1290585,6542F90F1C4B4C2B998C6F895D2D54B4,B3DC94FA753BA11987AFDB9EE78D72F6,0F28E6FA9D5C1419156F88862DD0322F,33BC12AA4775ACF00801DEEA1D407AE1,3653AC0C4FED3C13C6AD0634CA59E624,29C6AF9E686F4CDB7109864426D359F2,867D67EC8D6EFE6D1B59C68737AE700C
410022233344437,321CF32969A494FD12B9496F6769A6E1,899222333444000037,2566,37208270,7549,11513901,15254830,66187922,0080,04AE0A1CD381CD2E11F29065D50A4888,D1591EC91450C90D52407678ABC5A2B2,788D53E8B02E7590EE3A9E59D83F835E,EF231D9D84450F43411D6998D72CA3E8,3789ED03F70BB940E6A9F9D8ADE6EECC,6CEA98D1AF29DB5AA252315CAFB39973,5FBBE15F12049918C6C0D0E235FDFAE0,037D2391EFC9996C4BEDF77093DF9C18,903EC38A988617CC0CCC44ACC90393AA
410022233344438,FB70D30D388827EB4063455F1E151E8E,899222333444000038,8566,40065582,6767,53174698,49134295,60078716,0100,5BF84921A6CA2EB98C1E31F760DEA590,6C2B82E60269F0A366EA69E896CA30D1,B7FFBFFC0381F89A94BA9E40406A5036,9C1D51134FB352EB8E5ECD2F8123EEDA,80DBEC32478341BD27BDC815FE608BA8,C23542EA429828976FC1F040E723BB0B,FFE8E18CDBEE96458242795C4252FC4F,8A06163800ECEB5464C52A3A2DFA4687,2E2D69FBA1F8EC4D856E48A2F3AE048C
410022233344439,07812F160B34BEABEDE274B9297418AA,899222333444000039,6448,38476746,2563,87298273,91051865,32685078,0200,219F34A1443B7982754F429C260C47E4,D231E3D938D80E942E8205C3EDC916CB,33BDF3F6CB23A96484F5F62B0164522A,82C3FA3B0EFB1C519D2251B2674CB87B,8EBBD37F0462A611DAB33DC42AD420FE,ED168F6FF2570A847675DF6FAFF0A49A,7519BF7B1D1A53C5D4CEF973545A19E9,C3AC17C24E12D9A177B83C78DD6FDD9B,5146F97426DFD14BC82FD982ADF961CE
410022233344440,F643264E3D9F476ADCB755D8E979912F,899222333444000040,1060,92496763,1374,22477739,22961195,28518143,0001,F05FF1EE87DDBE180388FA394D2AE4F5,0842B3D9C60E7BE637D44F4D2DFD4A8F,FDB88B7F69E9E6D1D7BE1D75E0688951,C340A81E1FE6CD8A69837CA0E1FF00D7,2ADBBAFAB28E10D61552C23AD0C8E8C6,12F56C97F9F660069C83EA51399A7FC6,FB7A27914842CCDAE5EF0753E25D37BC,B765BC900F1C17923DD07F222A597E11,84C4B2EEF720ACB312FAB98F9DB7C49F
410022233344441,484518DEC1FE9DA65D218EC65008E11D,899222333444000041,5861,28306975,6172,95870262,66332324,81189467,0002,7F61E69EE98C59DA2A5D2F0154A842AC,D962AE9443A43246C9188FD61CCFA847,CD0CF73019D35F9984EF032829595686,700BCADA62B815F39FEE65D0F2E58977,D1FC03C72857535AA6925778E0419F90,EDEC7D40E6E4585906FEE26F081E5F27,A449258A31BB4EB9E5EBE73829196D6F,1337AED03259F7C8E541D78CFA55D322,EE2AD51AC89211FDD4877EA281B2A4BF
410022233344442,F407B05BBD048757A7AB732076324F65,899222333444000042,8568,34873871,8618,43645673,15687185,11657366,0004,5ECCC6A884F439375DF16390255107AD,DC73E288F59C9899E8865873BF303CD5,1EB0D67F14ACB375DCB92EFABFE106AF,C8FDC55465272A787FDB042CC7D450C7,81F657E47FBB0D2143139039FD03371B,573F1C8C7E6B1CE354B3DBB883F513FA,8D72B341A8E88391197A6E1F4CC37902,667F4AAD7D2F5D0539FC4EC22851E6BE,62102ACFBCC68DCCDD9054143214F7E7
410022233344443,00299AC8102268CFB8108D938D3BB4E9,899222333444000043,5915,70398419,3206,88934616,81625147,97187038,0008,5D134611454B66CD2FA85F6207AE8CF3,E27B5B39CC46256ABF02FE41E4B08927,8489E9EE954FE8D6ABBB87A00FC70AA2,9489BD2C8D2FC064475105119939DD43,CC9BA33B010A7F025D891BDC29CB1BFA,8273CFB4BA4E7F285120EDCDB5AC4114,6DB282CBA1B7F886B1916FA77E0D53A4,CF45BCF7ADD0E81DF08D3F566DFA3AB1,6CEDAEE2EC4AFE59B4F7A8638885A076
410022233344444,C7D4CDD109AE3265C9A52437A52A6FED,899222333444000044,8856,63530856,3530,64291221,23741638,76672120,0010,5E6EBC4CDA242B664E23B7EDA60219B0,EF5248C07065BAFE751D6BDB360F095C,494DFFFC28E145B4E6141837C0D8626C,C794BA9DA9174B7C939A44AC02491B66,B7FECC48705507CEAE1C8671F4C02FE8,CC2FC6C40FC9B1B03B60B5FA591A42B7,BFEF9237E9ECD1913E6F85EC05CDFF41,B54F9FAEE2DF64ACF815C4ED59498246,D7EA5AF64D21DD58A519EDB841098074
410022233344445,13730F1E471B78ACA191829B89E10BD8,899222333444000045,8018,70664564,6062,70576485,77914529,23822409,0020,C75A2335548500F1110B8D2FB5C6DE85,FBBED0260156B1F3C20F07EA7FBB5EAE,547C3BDE2F1198225BD43B895DECCDDC,15E3E9BF8DC7E7C621160D83234E21F4,76B9386CDBE41177485BA9B319553AF6,0EA316DCF12E43E66E437F2DDEA7DB13,C8F728E7655A9C53A09148F6D8586650,1A45981D7ED5FF8DF77E77072D6B0CCC,298B407C4D83E0AF45820E064D9C433E
410022233344446,E83E3A2BF3972EC9FEC12FF62E1B4147,899222333444000046,9379,84825945,2351,32731204,93701702,36992587,0040,80D62848AD1284FA8D2C3EE4B6993930,32C89E1322A01B766F6DC74C3A9B6286,A49DA8DA5BE8AAADBD60806B8C4F16AC,E4C2AF07256465998B8A49DB98D9F8DB,0975AAB344A21943089916AD900A46D1,C72DA912FFB4FD8C80EEE997DA4BCCA1,59362C12E44EB874B35CF2A16C21F6B6,935B7908C1D7BF54DC04A0C7EC7A0C7C,3B1F4161AE9102FA0EFA1AB4241C31A2
410022233344447,24D5E7E35EFD0C55332A4F1FEADAF72E,899222333444000047,4528,11965850,8332,57817197,17764396,34696993,0080,0140CE2FAC8B0E102F9922AE53D0745B,5C84B2D7A4C3A076D1B8F0AA0238F413,E64B18BCB93047542FB6CB3797686A1E,300935AD8A2DDD6978AB3D4085437F00,D2966A00BE2F9DDC2106114F8D01A582,B37C359CAA574F19360FD238422E06A1,7854208CCC2385FDF1201EA396D8942D,DF79405BDF7F6B1A6E54A2F796515384,51F62A8CC8ABF828DC81A0D96E02A2AC
410022233344448,A119D7FD2E33668F4AEE5862657A4F63,899222333444000048,3550,50868725,8121,20225052,59761305,79786309,0100,C12D9E2B676B5CB1BA77D5CD0A214918,5F6D0FD2CD6830E626C836B0876EAE50,5029F89F3ECC5157A262AFC823211299,C1C6B4E17AFBBF2C40E9D110D2C7F558,33877A5E79621563D9B6F22DA24C056E,16CA39FE89CA618C8B2DB58DF652F613,19501CB0EED320ABF7781C3061781A5E,01E76F6676D3E07007B085973E658730,9C142157B8A00CFCB32F82D1B3DB23FF
410022233344449,1DC693AE6E17B9FBA2F4CB6D2099B6ED,899222333444000049,5540,99337524,8335,38578463,90369466,81390653,0200,B4C323082A9FC6787CBB677BE054E7C4,3D7040A5AC7D6D963A0BA952782BE3E2,6F0F4519DD141D08FBAF7E204B06CC69,FA5E1AC16EC7DA9347F23ACEC35F70E6,C195B0BD07BB229882B40AEB08897425,1038BEAC11BCCB1D5035ACBCE37D7ED3,1596C29D22C0CF1C8C7E97D40354ED4E,F8CAACED0FE718297771A45FE41FE2C6,3A0DAFFEACA8355E4BD851ACEFEF7734
410022233344450,1EB7485BB5DE5AC0038C9C4CAE5AB486,899222333444000050,7293,94596318,3756,64824425,46630591,91170782,0001,6C398BFE7AB01133117ECC40F8A3F3D3,32C2081B7FBCE61B717A6B986AEBFD34,A98E71A6924CDFE00AEBFF23ABD79F70,24CDD9354EBCEB513BD54C2CD7DDE058,D8525543CF68C6A833EAE2A7F75514A8,A55F37C4EE5B2D4F9AD4B9EF299E748E,3D71D80BB8D9856160CC03EEC19EDF65,69B85B072251C5FA970B5D8132361BA3,C5EC4B0A353DC86B7ED600B2B91FF6A0
