ICCID,ICCID1,ICCID2,ICCID3,ICCID4,ICCID5,ICCID6,PIN1,PUK1,PIN2,PUK2,IMSI,IMSI1
899222333444000053,899222333444000053,8992,2233,3444,0000,53,7758,71503614,1000,73881223,410022,233344453
899222333444000054,899222333444000054,8992,2233,3444,0000,54,5936,75128722,5952,31555118,410022,233344454
899222333444000055,899222333444000055,8992,2233,3444,0000,55,1002,69241387,3781,48399322,410022,233344455
899222333444000056,899222333444000056,8992,2233,3444,0000,56,6676,56408973,4754,98145138,410022,233344456
899222333444000057,899222333444000057,8992,2233,3444,0000,57,3124,90796343,5655,89163310,410022,233344457
899222333444000058,899222333444000058,8992,2233,3444,0000,58,3585,24793147,8333,78466425,410022,233344458
899222333444000059,899222333444000059,8992,2233,3444,0000,59,1138,82556794,4229,39518537,410022,233344459
899222333444000060,899222333444000060,8992,2233,3444,0000,60,5727,59538154,3911,16516796,410022,233344460
899222333444000061,899222333444000061,8992,2233,3444,0000,61,7943,69866777,3384,75965848,410022,233344461
899222333444000062,899222333444000062,8992,2233,3444,0000,62,7514,70544622,4919,70708747,410022,233344462
899222333444000063,899222333444000063,8992,2233,3444,0000,63,4435,60549636,9277,79809027,410022,233344463
899222333444000064,899222333444000064,8992,2233,3444,0000,64,1071,83988568,6966,25323810,410022,233344464
899222333444000065,899222333444000065,8992,2233,3444,0000,65,4881,56640115,7929,48161337,410022,233344465
899222333444000066,899222333444000066,8992,2233,3444,0000,66,6394,68840891,8604,33567182,410022,233344466
899222333444000067,899222333444000067,8992,2233,3444,0000,67,7409,36207477,1424,46329319,410022,233344467
899222333444000068,899222333444000068,8992,2233,3444,0000,68,6434,70193984,2831,60784992,410022,233344468
899222333444000069,899222333444000069,8992,2233,3444,0000,69,6289,50543326,6056,77090850,410022,233344469
899222333444000070,899222333444000070,8992,2233,3444,0000,70,8881,61917019,1475,44877825,410022,233344470
899222333444000071,899222333444000071,8992,2233,3444,0000,71,3837,71953333,6080,52422351,410022,233344471
899222333444000072,899222333444000072,8992,2233,3444,0000,72,2657,70999083,6070,17137601,410022,233344472
899222333444000073,899222333444000073,8992,2233,3444,0000,73,4322,69670512,7384,60781613,410022,233344473
899222333444000074,899222333444000074,8992,2233,3444,0000,74,2860,50927745,4787,21557258,410022,233344474
899222333444000075,899222333444000075,8992,2233,3444,0000,75,5647,12371172,9301,10783214,410022,233344475
899222333444000076,899222333444000076,8992,2233,3444,0000,76,1305,96063408,5009,67585476,410022,233344476
899222333444000077,899222333444000077,8992,2233,3444,0000,77,5232,32786872,6754,32788773,410022,233344477
899222333444000078,899222333444000078,8992,2233,3444,0000,78,5784,94666547,5729,84824271,410022,233344478
899222333444000079,899222333444000079,8992,2233,3444,0000,79,2538,10871370,7073,65893215,410022,233344479
899222333444000080,899222333444000080,8992,2233,3444,0000,80,5208,74715090,4591,36952927,410022,233344480
899222333444000081,899222333444000081,8992,2233,3444,0000,81,4811,70897931,3203,23065984,410022,233344481
899222333444000082,899222333444000082,8992,2233,3444,0000,82,5030,60727809,7695,71106968,410022,233344482
899222333444000083,899222333444000083,8992,2233,3444,0000,83,8790,58168285,1410,99608544,410022,233344483
899222333444000084,899222333444000084,8992,2233,3444,0000,84,4681,59076655,8780,70323071,410022,233344484
899222333444000085,899222333444000085,8992,2233,3444,0000,85,9193,95355067,5285,28868915,410022,233344485
899222333444000086,899222333444000086,8992,2233,3444,0000,86,2228,19486260,5857,81042797,410022,233344486
899222333444000087,899222333444000087,8992,2233,3444,0000,87,4054,24121056,6968,93600803,410022,233344487
899222333444000088,899222333444000088,8992,2233,3444,0000,88,5321,26874545,3270,30028464,410022,233344488
899222333444000089,899222333444000089,8992,2233,3444,0000,89,8046,84471715,3027,24399345,410022,233344489
899222333444000090,899222333444000090,8992,2233,3444,0000,90,4609,82188242,4200,58672467,410022,233344490
899222333444000091,899222333444000091,8992,2233,3444,0000,91,3668,93866777,9354,47198962,410022,233344491
899222333444000092,899222333444000092,8992,2233,3444,0000,92,2416,25164585,3471,91340899,410022,233344492
899222333444000093,899222333444000093,8992,2233,3444,0000,93,8747,16764232,9532,93771068,410022,233344493
899222333444000094,899222333444000094,8992,2233,3444,0000,94,9296,63916474,1110,77653402,410022,233344494
899222333444000095,899222333444000095,8992,2233,3444,0000,95,2513,94494227,9326,48092651,410022,233344495
899222333444000096,899222333444000096,8992,2233,3444,0000,96,6571,17750746,6512,42643590,410022,233344496
899222333444000097,899222333444000097,8992,2233,3444,0000,97,2156,77255465,4553,57162703,410022,233344497
899222333444000098,899222333444000098,8992,2233,3444,0000,98,2827,39987852,2964,28021316,410022,233344498
899222333444000099,899222333444000099,8992,2233,3444,0000,99,8446,86532653,8656,26165678,410022,233344499
899222333444000100,899222333444000100,8992,2233,3444,0001,00,5690,96682720,1432,25352013,410022,233344500
899222333444000101,899222333444000101,8992,2233,3444,0001,01,5439,27753755,6538,43405798,410022,233344501
899222333444000102,899222333444000102,8992,2233,3444,0001,02,7811,64401707,6497,14492992,410022,233344502
899222333444000103,899222333444000103,8992,2233,3444,0001,03,8529,66482944,7288,60351634,410022,233344503
899222333444000104,899222333444000104,8992,2233,3444,0001,04,6045,90525243,5208,41480628,410022,233344504
899222333444000105,899222333444000105,8992,2233,3444,0001,05,2006,54076294,5116,70798467,410022,233344505
899222333444000106,899222333444000106,8992,2233,3444,0001,06,6108,80170736,8786,41173148,410022,233344506
899222333444000107,899222333444000107,8992,2233,3444,0001,07,6407,36704320,2311,64052228,410022,233344507
899222333444000108,899222333444000108,8992,2233,3444,0001,08,5529,50971274,5448,38278648,410022,233344508
899222333444000109,899222333444000109,8992,2233,3444,0001,09,3500,96549164,2182,46995922,410022,233344509
899222333444000110,899222333444000110,8992,2233,3444,0001,10,2497,83620911,3889,14136087,410022,233344510
899222333444000111,899222333444000111,8992,2233,3444,0001,11,7087,30956688,5349,53824318,410022,233344511
899222333444000112,899222333444000112,8992,2233,3444,0001,12,7521,42975033,8543,30147920,410022,233344512
899222333444000113,899222333444000113,8992,2233,3444,0001,13,1618,28405416,1160,79649404,410022,233344513
899222333444000114,899222333444000114,8992,2233,3444,0001,14,2128,56517129,7522,94672324,410022,233344514
899222333444000115,899222333444000115,8992,2233,3444,0001,15,7421,87008215,6149,91249979,410022,233344515
899222333444000116,899222333444000116,8992,2233,3444,0001,16,9681,29142596,4070,63938851,410022,233344516
899222333444000117,899222333444000117,8992,2233,3444,0001,17,2378,32302141,6001,47354067,410022,233344517
899222333444000118,899222333444000118,8992,2233,3444,0001,18,6749,36756104,7920,14248531,410022,233344518
899222333444000119,899222333444000119,8992,2233,3444,0001,19,6025,97974003,7482,82661628,410022,233344519
899222333444000120,899222333444000120,8992,2233,3444,0001,20,8832,47284204,4467,70176992,410022,233344520
899222333444000121,899222333444000121,8992,2233,3444,0001,21,8175,28697434,2412,61083244,410022,233344521
899222333444000122,899222333444000122,8992,2233,3444,0001,22,9868,75492925,2726,17239473,410022,233344522
899222333444000123,899222333444000123,8992,2233,3444,0001,23,1359,99292222,4555,38800226,410022,233344523
899222333444000124,899222333444000124,8992,2233,3444,0001,24,5157,39637486,7286,23985811,410022,233344524
899222333444000125,899222333444000125,8992,2233,3444,0001,25,2738,30282877,4520,54370339,410022,233344525
899222333444000126,899222333444000126,8992,2233,3444,0001,26,9294,43876150,7902,43426413,410022,233344526
899222333444000127,899222333444000127,8992,2233,3444,0001,27,5704,61959166,4803,81082783,410022,233344527
899222333444000128,899222333444000128,8992,2233,3444,0001,28,8844,98788059,1773,34906821,410022,233344528
899222333444000129,899222333444000129,8992,2233,3444,0001,29,2313,70419064,1595,16168500,410022,233344529
899222333444000130,899222333444000130,8992,2233,3444,0001,30,1826,70915736,5395,47725099,410022,233344530
899222333444000131,899222333444000131,8992,2233,3444,0001,31,1996,66080089,9631,68135038,410022,233344531
899222333444000132,899222333444000132,8992,2233,3444,0001,32,9296,89661568,5410,37630868,410022,233344532
899222333444000133,899222333444000133,8992,2233,3444,0001,33,6100,39110963,6746,17323968,410022,233344533
899222333444000134,899222333444000134,8992,2233,3444,0001,34,9475,57649719,1541,27542610,410022,233344534
899222333444000135,899222333444000135,8992,2233,3444,0001,35,7248,59787945,4378,68614482,410022,233344535
899222333444000136,899222333444000136,8992,2233,3444,0001,36,4621,61987905,5292,70683601,410022,233344536
899222333444000137,899222333444000137,8992,2233,3444,0001,37,2646,97184361,9578,32938571,410022,233344537
899222333444000138,899222333444000138,8992,2233,3444,0001,38,3082,22242755,8902,39497376,410022,233344538
899222333444000139,899222333444000139,8992,2233,3444,0001,39,4579,60663684,9105,55345812,410022,233344539
899222333444000140,899222333444000140,8992,2233,3444,0001,40,6151,15041599,6926,10580307,410022,233344540
899222333444000141,899222333444000141,8992,2233,3444,0001,41,6045,53847769,7239,82900220,410022,233344541
899222333444000142,899222333444000142,8992,2233,3444,0001,42,6478,89589421,2496,11584513,410022,233344542
899222333444000143,899222333444000143,8992,2233,3444,0001,43,2611,10033004,3068,62473341,410022,233344543
899222333444000144,899222333444000144,8992,2233,3444,0001,44,8322,48342561,2806,52427439,410022,233344544
899222333444000145,899222333444000145,8992,2233,3444,0001,45,4095,37037853,6460,32112459,410022,233344545
899222333444000146,899222333444000146,8992,2233,3444,0001,46,8573,16173522,2583,85259074,410022,233344546
899222333444000147,899222333444000147,8992,2233,3444,0001,47,4886,15360835,8111,48925134,410022,233344547
899222333444000148,899222333444000148,8992,2233,3444,0001,48,9303,31519565,3225,49388281,410022,233344548
899222333444000149,899222333444000149,8992,2233,3444,0001,49,6531,40270849,1383,25780541,410022,233344549
899222333444000150,899222333444000150,8992,2233,3444,0001,50,4979,90844021,1317,21506703,410022,233344550
899222333444000151,899222333444000151,8992,2233,3444,0001,51,2260,25586179,8963,60607664,410022,233344551
899222333444000152,899222333444000152,8992,2233,3444,0001,52,1147,30268559,7592,36001411,410022,233344552
899222333444000153,899222333444000153,8992,2233,3444,0001,53,6802,71552109,2348,75941135,410022,233344553
899222333444000154,899222333444000154,8992,2233,3444,0001,54,9263,80144965,9286,68461247,410022,233344554
899222333444000155,899222333444000155,8992,2233,3444,0001,55,7124,27164349,9798,74576572,410022,233344555
899222333444000156,899222333444000156,8992,2233,3444,0001,56,9764,47020320,4472,60216481,410022,233344556
899222333444000157,899222333444000157,8992,2233,3444,0001,57,8323,78421171,1186,77045393,410022,233344557
899222333444000158,899222333444000158,8992,2233,3444,0001,58,6250,48200562,7780,72041881,410022,233344558
899222333444000159,899222333444000159,8992,2233,3444,0001,59,6675,38278142,5101,85828297,410022,233344559
899222333444000160,899222333444000160,8992,2233,3444,0001,60,8060,40293904,6527,88465102,410022,233344560
899222333444000161,899222333444000161,8992,2233,3444,0001,61,8443,72751520,4932,41422887,410022,233344561
899222333444000162,899222333444000162,8992,2233,3444,0001,62,5252,74412942,3680,35458696,410022,233344562
899222333444000163,899222333444000163,8992,2233,3444,0001,63,1350,11599889,8399,47016046,410022,233344563
899222333444000164,899222333444000164,8992,2233,3444,0001,64,4283,45468995,4790,34571402,410022,233344564
899222333444000165,899222333444000165,8992,2233,3444,0001,65,2213,55167703,6638,95150319,410022,233344565
899222333444000166,899222333444000166,8992,2233,3444,0001,66,7987,54109451,4119,30146455,410022,233344566
899222333444000167,899222333444000167,8992,2233,3444,0001,67,3745,55545813,4355,45589720,410022,233344567
899222333444000168,899222333444000168,8992,2233,3444,0001,68,4171,21401244,8818,59736273,410022,233344568
899222333444000169,899222333444000169,8992,2233,3444,0001,69,7362,65005915,8698,75248077,410022,233344569
899222333444000170,899222333444000170,8992,2233,3444,0001,70,2436,43747703,2832,66451770,410022,233344570
899222333444000171,899222333444000171,8992,2233,3444,0001,71,1056,45650033,6794,75946781,410022,233344571
899222333444000172,899222333444000172,8992,2233,3444,0001,72,4529,48238485,2403,69976042,410022,233344572
899222333444000173,899222333444000173,8992,2233,3444,0001,73,8928,36027134,4126,13502406,410022,233344573
899222333444000174,899222333444000174,8992,2233,3444,0001,74,7146,11789452,8737,14998649,410022,233344574
899222333444000175,899222333444000175,8992,2233,3444,0001,75,1961,80900894,8620,24095948,410022,233344575
899222333444000176,899222333444000176,8992,2233,3444,0001,76,8005,38072544,6430,27839620,410022,233344576
899222333444000177,899222333444000177,8992,2233,3444,0001,77,7720,85925605,4943,26427226,410022,233344577
899222333444000178,899222333444000178,8992,2233,3444,0001,78,6051,67318646,1847,78656886,410022,233344578
899222333444000179,899222333444000179,8992,2233,3444,0001,79,3820,90372038,3989,50578631,410022,233344579
899222333444000180,899222333444000180,8992,2233,3444,0001,80,2621,43959507,9952,32220845,410022,233344580
899222333444000181,899222333444000181,8992,2233,3444,0001,81,1004,74585705,9316,92730549,410022,233344581
899222333444000182,899222333444000182,8992,2233,3444,0001,82,1282,16522079,2771,25306750,410022,233344582
899222333444000183,899222333444000183,8992,2233,3444,0001,83,9171,57886612,6589,66458851,410022,233344583
899222333444000184,899222333444000184,8992,2233,3444,0001,84,6498,16223945,1151,55926579,410022,233344584
899222333444000185,899222333444000185,8992,2233,3444,0001,85,7395,94968082,2580,83596318,410022,233344585
899222333444000186,899222333444000186,8992,2233,3444,0001,86,5557,11152558,7351,44471293,410022,233344586
899222333444000187,899222333444000187,8992,2233,3444,0001,87,7767,74183963,4230,85538521,410022,233344587
899222333444000188,899222333444000188,8992,2233,3444,0001,88,3288,94131214,7220,25908534,410022,233344588
899222333444000189,899222333444000189,8992,2233,3444,0001,89,9708,88142047,8083,43899345,410022,233344589
899222333444000190,899222333444000190,8992,2233,3444,0001,90,5874,46058291,4624,20265258,410022,233344590
899222333444000191,899222333444000191,8992,2233,3444,0001,91,6864,70650210,4987,36861054,410022,233344591
899222333444000192,899222333444000192,8992,2233,3444,0001,92,4150,32003074,9083,12512470,410022,233344592
899222333444000193,899222333444000193,8992,2233,3444,0001,93,3019,70991094,7940,23256058,410022,233344593
899222333444000194,899222333444000194,8992,2233,3444,0001,94,4310,32407954,9286,53069848,410022,233344594
899222333444000195,899222333444000195,8992,2233,3444,0001,95,3785,88294118,9854,49751056,410022,233344595
899222333444000196,899222333444000196,8992,2233,3444,0001,96,8565,90428229,2801,31337927,410022,233344596
899222333444000197,899222333444000197,8992,2233,3444,0001,97,7456,49808179,6254,28495349,410022,233344597
899222333444000198,899222333444000198,8992,2233,3444,0001,98,5973,57745101,7361,58027094,410022,233344598
899222333444000199,899222333444000199,8992,2233,3444,0001,99,9408,70025819,2684,88368811,410022,233344599
899222333444000200,899222333444000200,8992,2233,3444,0002,00,3835,95017388,2575,20138954,410022,233344600
899222333444000201,899222333444000201,8992,2233,3444,0002,01,7758,17646433,5632,42626991,410022,233344601
899222333444000202,899222333444000202,8992,2233,3444,0002,02,6459,89776438,1792,85501512,410022,233344602
899222333444000203,899222333444000203,8992,2233,3444,0002,03,9915,23261066,7115,81173257,410022,233344603
899222333444000204,899222333444000204,8992,2233,3444,0002,04,2569,98085692,3663,87419650,410022,233344604
899222333444000205,899222333444000205,8992,2233,3444,0002,05,9332,11107583,2705,43122643,410022,233344605
899222333444000206,899222333444000206,8992,2233,3444,0002,06,9487,73999238,8077,52150869,410022,233344606
899222333444000207,899222333444000207,8992,2233,3444,0002,07,7785,60641608,6727,88347300,410022,233344607
899222333444000208,899222333444000208,8992,2233,3444,0002,08,3723,76338193,3357,58266824,410022,233344608
899222333444000209,899222333444000209,8992,2233,3444,0002,09,7924,16963198,4934,24867799,410022,233344609
899222333444000210,899222333444000210,8992,2233,3444,0002,10,7852,97046290,8173,16627446,410022,233344610
899222333444000211,899222333444000211,8992,2233,3444,0002,11,9408,14071260,2962,78752841,410022,233344611
899222333444000212,899222333444000212,8992,2233,3444,0002,12,1646,82459015,5600,10423313,410022,233344612
899222333444000213,899222333444000213,8992,2233,3444,0002,13,7169,42084724,5735,32251137,410022,233344613
899222333444000214,899222333444000214,8992,2233,3444,0002,14,2136,49640635,7961,28984465,410022,233344614
899222333444000215,899222333444000215,8992,2233,3444,0002,15,7070,48665900,4211,16272218,410022,233344615
899222333444000216,899222333444000216,8992,2233,3444,0002,16,1840,63094022,9573,55773060,410022,233344616
899222333444000217,899222333444000217,8992,2233,3444,0002,17,2767,24428176,3107,92181208,410022,233344617
899222333444000218,899222333444000218,8992,2233,3444,0002,18,2551,62490682,8484,22339411,410022,233344618
899222333444000219,899222333444000219,8992,2233,3444,0002,19,2313,93617463,2296,32907667,410022,233344619
899222333444000220,899222333444000220,8992,2233,3444,0002,20,9335,42890298,3941,13069232,410022,233344620
899222333444000221,899222333444000221,8992,2233,3444,0002,21,8271,91282337,9692,68314173,410022,233344621
899222333444000222,899222333444000222,8992,2233,3444,0002,22,5683,97744071,5252,43249654,410022,233344622
899222333444000223,899222333444000223,8992,2233,3444,0002,23,7672,75771425,7680,34243371,410022,233344623
899222333444000224,899222333444000224,8992,2233,3444,0002,24,2126,29787346,5384,99515355,410022,233344624
899222333444000225,899222333444000225,8992,2233,3444,0002,25,8573,97253204,7017,75459713,410022,233344625
899222333444000226,899222333444000226,8992,2233,3444,0002,26,1031,99463653,9248,48134405,410022,233344626
899222333444000227,899222333444000227,8992,2233,3444,0002,27,1694,55569433,6893,37304282,410022,233344627
899222333444000228,899222333444000228,8992,2233,3444,0002,28,4792,15030292,2446,17381192,410022,233344628
899222333444000229,899222333444000229,8992,2233,3444,0002,29,3753,91746626,2123,61912621,410022,233344629
899222333444000230,899222333444000230,8992,2233,3444,0002,30,2025,39255052,7668,90070671,410022,233344630
899222333444000231,899222333444000231,8992,2233,3444,0002,31,8076,60569145,7861,42168051,410022,233344631
899222333444000232,899222333444000232,8992,2233,3444,0002,32,2472,96383214,9594,53159268,410022,233344632
899222333444000233,899222333444000233,8992,2233,3444,0002,33,6002,11963638,6847,35213516,410022,233344633
899222333444000234,899222333444000234,8992,2233,3444,0002,34,5171,69222541,1437,81741386,410022,233344634
899222333444000235,899222333444000235,8992,2233,3444,0002,35,9743,20587254,4613,67466505,410022,233344635
899222333444000236,899222333444000236,8992,2233,3444,0002,36,9510,20173949,6916,43482492,410022,233344636
899222333444000237,899222333444000237,8992,2233,3444,0002,37,7558,58196502,7727,74642920,410022,233344637
899222333444000238,899222333444000238,8992,2233,3444,0002,38,8524,73610831,9593,88092738,410022,233344638
899222333444000239,899222333444000239,8992,2233,3444,0002,39,8851,58933530,6906,97779584,410022,233344639
899222333444000240,899222333444000240,8992,2233,3444,0002,40,2286,48853061,4195,52555499,410022,233344640
899222333444000241,899222333444000241,8992,2233,3444,0002,41,4226,51396317,9221,71332139,410022,233344641
899222333444000242,899222333444000242,8992,2233,3444,0002,42,8002,14774039,2662,94409269,410022,233344642
899222333444000243,899222333444000243,8992,2233,3444,0002,43,4664,79077354,4483,84696955,410022,233344643
899222333444000244,899222333444000244,8992,2233,3444,0002,44,1075,53038116,3495,56314079,410022,233344644
899222333444000245,899222333444000245,8992,2233,3444,0002,45,2910,85795773,5475,62682039,410022,233344645
899222333444000246,899222333444000246,8992,2233,3444,0002,46,4242,42393998,2008,68042492,410022,233344646
899222333444000247,899222333444000247,8992,2233,3444,0002,47,7512,37696189,1492,50013240,410022,233344647
899222333444000248,899222333444000248,8992,2233,3444,0002,48,7568,77382193,9880,17635216,410022,233344648
899222333444000249,899222333444000249,8992,2233,3444,0002,49,6719,71870591,1995,93100750,410022,233344649
899222333444000250,899222333444000250,8992,2233,3444,0002,50,5244,21044281,8672,18217301,410022,233344650
899222333444000251,899222333444000251,8992,2233,3444,0002,51,3271,41235881,1128,72446628,410022,233344651
899222333444000252,899222333444000252,8992,2233,3444,0002,52,1847,60200966,4548,99389025,410022,233344652
899222333444000253,899222333444000253,8992,2233,3444,0002,53,8916,10360117,4813,38098314,410022,233344653
899222333444000254,899222333444000254,8992,2233,3444,0002,54,9609,61562602,5998,60433037,410022,233344654
899222333444000255,899222333444000255,8992,2233,3444,0002,55,8326,87536421,3414,40067616,410022,233344655
899222333444000256,899222333444000256,8992,2233,3444,0002,56,9902,83531999,3229,62662975,410022,233344656
899222333444000257,899222333444000257,8992,2233,3444,0002,57,6901,41676838,9228,24786926,410022,233344657
899222333444000258,899222333444000258,8992,2233,3444,0002,58,8860,64337107,8727,71675859,410022,233344658
899222333444000259,899222333444000259,8992,2233,3444,0002,59,5235,82905480,2486,53334606,410022,233344659
899222333444000260,899222333444000260,8992,2233,3444,0002,60,2879,51659644,6431,37473963,410022,233344660
899222333444000261,899222333444000261,8992,2233,3444,0002,61,4603,87333055,1818,99757977,410022,233344661
899222333444000262,899222333444000262,8992,2233,3444,0002,62,5276,56684654,5929,71209788,410022,233344662
899222333444000263,899222333444000263,8992,2233,3444,0002,63,9778,86248085,1188,61867612,410022,233344663
899222333444000264,899222333444000264,8992,2233,3444,0002,64,5361,32903297,6432,79955314,410022,233344664
899222333444000265,899222333444000265,8992,2233,3444,0002,65,6751,81491681,8242,27282458,410022,233344665
899222333444000266,899222333444000266,8992,2233,3444,0002,66,8509,48308904,1519,90484907,410022,233344666
899222333444000267,899222333444000267,8992,2233,3444,0002,67,7900,79505385,6283,33235323,410022,233344667
899222333444000268,899222333444000268,8992,2233,3444,0002,68,6073,96334585,9422,83439413,410022,233344668
899222333444000269,899222333444000269,8992,2233,3444,0002,69,1275,73399747,5496,99463060,410022,233344669
899222333444000270,899222333444000270,8992,2233,3444,0002,70,5959,86771949,1767,83756920,410022,233344670
899222333444000271,899222333444000271,8992,2233,3444,0002,71,3828,68635091,4434,30137333,410022,233344671
899222333444000272,899222333444000272,8992,2233,3444,0002,72,3650,81311673,5354,86952152,410022,233344672
899222333444000273,899222333444000273,8992,2233,3444,0002,73,9180,75380912,1123,60123612,410022,233344673
899222333444000274,899222333444000274,8992,2233,3444,0002,74,2760,53133261,6250,10506148,410022,233344674
899222333444000275,899222333444000275,8992,2233,3444,0002,75,4464,54979555,9971,72888158,410022,233344675
899222333444000276,899222333444000276,8992,2233,3444,0002,76,3618,40440256,7251,11123745,410022,233344676
899222333444000277,899222333444000277,8992,2233,3444,0002,77,7628,38509953,4453,60772453,410022,233344677
899222333444000278,899222333444000278,8992,2233,3444,0002,78,9250,43099943,8412,15494557,410022,233344678
899222333444000279,899222333444000279,8992,2233,3444,0002,79,1185,96710778,3364,81702249,410022,233344679
899222333444000280,899222333444000280,8992,2233,3444,0002,80,8288,96242403,8429,21721363,410022,233344680
899222333444000281,899222333444000281,8992,2233,3444,0002,81,3482,40657885,7974,91777597,410022,233344681
