,IMSI,ICCID,PIN1,PUK1,PIN2,PUK2,ADM1,ADM6,KI,OPC,ACC,KIC1,KID1,KIK1,KIC2,KID2,KIK2,KIC3,KID3,KIK3
10,084901103254769815,98294015624556450957,32313830FFFFFFFF,3131313131313131,33323431FFFFFFFF,3132353639303937,3933363534303435,3131313131313131,3FB5725FA66BF6105C0F74D3241E9663,AEBFB6172A7B00E85A2DC6587E739EA2,0002,6D203A739CDFAD71DAB28662A42EB0F4,38088D967C53638C3F43B642855F8C65,E397D16DDF458FD643D79FFDA1BECD8D,A56CB8EAF8352E831870CA8DDB50C0FC,4F4EC906AF3430C79D6D5C868F853724,CD1A01A03AF3A3DDC7C9407FB2B6E51D,364D90370B391BFC341ACA3F42B2976B,01824102B35E656871C0B29F34BAE2C0,5C9F5E4C8FCFE324DAB26394F73D643F
11,084901103254769825,98294015624556450938,32373432FFFFFFFF,3131313131313131,36363138FFFFFFFF,3134333132343535,3830383131343130,3131313131313131,0CF4097490C7DA11DB9232035E25D882,9CAB906A99CF6C16C7A8C1B718157ED9,0004,79F4E86996E63F26ADD3734D2CB42957,EEFF1475BB0F4A32BB5708E91340E7E5,553C6B435984FBAEFAEED2B4B1B5B0F7,A29DE2C6DF02319AE7D8E5C82F531F1C,D61F8BBE19F1069BF695658F839F8052,5D9C65524BAC5AA2479F551FE2143481,1D954FF2234531AE1C98F64DCC0E86A5,7020B7EBD72BEAD4126FF535B8CDC586,3B36F7EF1347C119C0E55A57D5EEA37B
12,084901103254769835,98294015624556450919,32323037FFFFFFFF,3131313131313131,31313632FFFFFFFF,3630363532393331,3632323135323135,3131313131313131,6F61EB7304BA8685A51D4CFABCDE4862,31D355973E53DFD392CFAEE6EF2E7F58,0008,C6180BAC6C1A7B1BB1DCDE70ABA3D253,B5C9E2BF9D870C1E1DEF8F35C71EF005,5D38971B34F3CE7A933893EF0324938D,D33A5A3D2D8872BE24725F989EFCA3A9,33CE52325A531C52C0B8629E9AE80546,E035C789C91974ED086DF99D6091A4C9,D3463A60DEE7181CD05A1F3BE7526EDD,E6ED7F3BF4C6A3B9E97B57A85103865F,BFBC7BFA258B52A11B16524C879A2ED1
13,084901103254769845,98294015624556451990,37333534FFFFFFFF,3131313131313131,33333630FFFFFFFF,3531373932323233,3231393333313439,3131313131313131,39B83B28D7E196FD7CF3AFC7F8FE3A55,1EC80D21AF35534A1E7622E4C9B21394,0010,165C242D090213B39FE1F920B404F86E,1AE9A90603EFC867C750D5E82001FDE0,212DDB52E5A5FB9363B00AF8A4C0214B,C08AA9A758F32939CBF0119963836AF0,93BBF6C4ABF1955D2078720282A16552,194CA84A08C27214F1ED10BE97F0DDDC,A0D4E57AAADA1088BD88A98D0AE12AF7,CBA16C6A465D78C6923948B10514B0FA,629CA52B9994FC02F9FA0BCE96101016
14,084901103254769855,98294015624556451971,33383436FFFFFFFF,3131313131313131,38363131FFFFFFFF,3635313534353936,3731363238363233,3131313131313131,0422328FE4A44D7C1E46EA4C61C2B0BB,4B35CD4A91B064C1E5A7715752ECCED2,0020,0FABFF272A0037BFCA9DB49903A9BE29,83E97024E3B06FA2FA333083005815FD,A872D5C1153259CE6BDA698D116B1F35,67BCFEF25C1DB410687B9598A4DA9A2B,145CCE237AB43A285B4F9A9E2E377889,09662F7261DC693D06532B654759B451,48274B0DD2E0EB27E6D45984E950D86B,8193E3FD76C87AE98DF9E4756E80A614,BC1437FDF3ADF5F894BFAE399E642300
15,084901103254769865,98294015624556451952,38353739FFFFFFFF,3131313131313131,36313831FFFFFFFF,3534313534313334,3132303635333736,3131313131313131,A7BAE003B9069607EF1ACCC8315A6256,34AFFC8DE8A9FE44032489C8EB4868C0,0040,C1DF50708A90ED319079D9F67268CBE3,94868F5713708BBE96E1AF906841C462,D0110B407F72EFC9D4030F535DA13A45,C335EDF8C7561C2AA00C8F533EBE5EEC,4B354EEE022EFC114F2B911C6366C923,28A1B6678684C7F56FDAE8D1BD3D4266,DC8E5F67FF073B112D36F04E385BAD22,A098FACC6088F56E1D8613CDF63E4CA9,E72F3C2262D0E35D09E213002507EB6F
16,084901103254769875,98294015624556451933,34333034FFFFFFFF,3131313131313131,34363334FFFFFFFF,3531373135323135,3933313731303330,3131313131313131,D1D7455F7DD2CC6338ED0830D4F96272,47FE82CB66F171281227C8F002C4D285,0080,4A7AB3C47962BA7206ECFA8DAEB408B0,AF1870F8689014174EE5FF67B026DFFF,2B3B09D8359DC83EC984AAD185A3ECEC,B5CB4BED33A32B571ADD9AAC3D1C031D,D05141A89E65EDAEA300DA6BA6AD9A16,50E1480EE68EAA86416ACD9CE9BF903D,D9CF9A45C93FDC9EE8510C3608EC910E,066B2E2B3F664D2C575F8A3104FCB25E,B64C58BB113D458853E1DCD6EF3F0F83
17,084901103254769885,98294015624556451914,38373232FFFFFFFF,3131313131313131,32383635FFFFFFFF,3230323634393235,3134313138333339,3131313131313131,E3D9F92C80E81BD7179ECD88016DB555,FA80D2D297AC7A9A9065D1335AB1CBFC,0100,D4B03DB38B713C72F475F9520A8A1308,862B338476AD37926D907DB815DDAC75,576644A3A9D68024A45FAD6FC711C598,D63EB104A27B2BB8B0F7119309D717A0,A96DAF2CCACDA620C8CB3C18B1F87EA1,4DB64AF7A6EEE1E5AB7890E0A8421FA5,7C94C72571F30E8EBEB1D28A0DC36D1A,20199304E2C678F1DBBF6AABEF4FAD56,86D7C48837734F8C2F36EC3E74A8BD74
18,084901103254769895,98294015624556451985,34343937FFFFFFFF,3131313131313131,36393838FFFFFFFF,3935323135373932,3834323731343639,3131313131313131,9959BC00A536AA2C94E4D4FC1EEF1413,AA60B37B79EEA8AD8EFD9187BC82D55B,0200,23812E3A1F4C211122545EE57C0728F6,6760812EBEA8681157B64DC4C3C90DC1,D8B168AC294121FA22AE5B24D701A577,78C632D980B6623B33EBE92716701D79,79EE115E2AB705C075C263C7D9B66E8F,21460EE45D90455BF98E113D9D70513A,21AAB55092DB0B1E79197F49F94B2D62,B8B581467092B3DD3C72F4BF112748D9,7F99A64E67FD3CD33A0576605A316A45
19,084901103254769806,98294015624556451966,33333233FFFFFFFF,3131313131313131,31313439FFFFFFFF,3636393038363732,3935383139343339,3131313131313131,71DF7CAA91509AD82D39BAA64EA90DA2,73B978EC244786D8722886EB50D21D1F,0001,94B5BE82F7444BA1D0490078650B6154,387937ECF7380E7B04EDA7C6B105226F,4EC5230854344BC46B9DCEC1BBD96175,5D3832D1218B53360E143EFBC731AB80,F1E0C676FE4044F82826F58E458DCF91,8B1C5BCD1E9E5E1E1F0A35BBBA733CD7,3A5EE8DBD63D88C2BFDF40A12A3A8628,BE1AF871B35C141D9A283E9395AF3D0B,F580E7F5EA998F564A98F6F8C74D848E
20,084901103254769816,98294015624556451947,37393833FFFFFFFF,3131313131313131,37363832FFFFFFFF,3135363837303137,3732313531393832,3131313131313131,57AB34A0E74AEB153E668C3C5C8A0275,97BE0D101B46F8DCEB4022CCC6DDFB66,0002,1EB33F7637AC4611B82739BB1B83F70D,14A9D51CEA614CBA13BF8755BD1F1653,92C375E2EDFCC4BC58FF90577321CCC7,7DFA41AE618594ADFF5C09065F230185,056D1C936392EBB54327C6452E15A498,83B86C2506B7BC796B61B53EAAAD6E26,DFE76E0F5F9925AA28E42F6EE66C41B9,9E5E7B579F094BA8B41E69C6F116FB93,F2DAA19148595187D1114614B2D76394
21,084901103254769826,98294015624556451928,37333836FFFFFFFF,3131313131313131,32373533FFFFFFFF,3436333030373532,3532343339383932,3131313131313131,092D1619F10C45BE3B6FB426B5FF01FB,270915E60B6D408D3ECF27A730672208,0004,FECCC54E26C268ABB0F3E96A2942597B,FBF9F32A872FD13DAAAD718459EB3F14,CAFB3B907F6172BD4971A8802892BA79,BA4A38ABC3602612DB14C7DF0C18BAB3,B45A12417187DB908C34360F5554B6A2,976B66FE742F8424C35F905698D7F6BF,84A3DD4B6B1F1A8C43430BD97A58EE82,DE540DC2AFE8FF8CD75311CF9C965989,090D80221EAD8DAF66B3A9E508A03E9E
22,084901103254769836,98294015624556451909,37383235FFFFFFFF,3131313131313131,37343734FFFFFFFF,3832333533353439,3931383233313430,3131313131313131,FDE447A1EE8F7D279D8FEABD042E0260,CE629D484087963604F5173F70956305,0008,183431FDF87160C45DBD050A9293307E,DD78F200A919069BF006CEE01CB2D8CE,4073BF769834CEC0692407FA56065F29,B931A51A396AAC626DD9FBB949CD2B50,338E65A0B8340998BF531D7537A4C5D8,772D703B1BFB046B959505B544C3E417,9923CF4F31FE62D4051D10798491D4CC,79D556447696CEF0D3AD5C9C32ADCFF8,C5593E1227F1B8B6CA194380BEAC4F9E
23,084901103254769846,98294015624556452980,38323838FFFFFFFF,3131313131313131,32383137FFFFFFFF,3332373232353132,3130393531393633,3131313131313131,03A3F62B43D3B8553561CDBA8F5E606D,75BE839EB0ED663FA420084574BC5458,0010,261C93D593C154458A79A0B4B0C2FC6F,D44FEC7FAEC661EDECACC4A7CCF2A2CA,D01F25A60E6975CF3EBE8AB364E9C54F,0FDCB7FF3CC9ABF7E47D218DBE98D2D5,0A6EE1660D3BEA9DA7D2FA6F39B0F116,703D74EAB81A9FD17921FCC120C6C808,919F3C1DE681E397FB00724EAEDC6009,824CFC526A66166429958ED6EAD827D3,97FD57BA73812EE7A4DDF0A4C1B880D9
24,084901103254769856,98294015624556452961,31363339FFFFFFFF,3131313131313131,38343635FFFFFFFF,3238343137353132,3234313034383134,3131313131313131,F274FF594F76DA425DB95E63CCED5543,4494B43E0D00875E12BE1D330BBE918A,0020,8A855032C567EA9C7DF71FCE285D3221,3584F6244C5B6BA38BC3C7ED4F7A112E,BC2B5D0185AC7CE55802DE1E032CE161,B478968E229678103599E688FD12A9BC,C1F9E8E9612D56E90D00C7C525ACB0F7,D1A27D67CE4E61FCA7121CDEA3B26F5D,FE4E3197DD300B758260C3CB8F9D6CD4,3EBBD08388F0F0CEDCD5817E609E7130,B3A2B2B42F73D849D742EA25C2D25B31
